Budget_Year,Project_type,Project_name,TEI,BP4_Agency,Completion_date,Completion_date_string,Earliest_budget_year,Est_completion_date,Est_exp_to_date,Estimated_completion_date,EstimatedCompletionDM,EstimatedCompletionYear,Fixed_notes,Footnotes,Project_location,Regional,State_Electorate,Remaining_exp,Sector,Start_date
2019-20,New,Building a better hospital for Melbourne's inner west,1495000000,Department of Health and Human Services,,Jun-25,2019-20,qtr 4 2024‑25,0,6/30/2025 12:00:00 AM,30-Jun,25,Cash flows to be confirmed.  TEI includes $65 million provided in previous budgets and excludes financing costs.,This project is a PPP where the upfront capital investment has resulted in additional scope and whole-of-life benefits whilst remaining within the project’s affordability benchmark. The TEI reflects the inclusion of the Victoria University project components which are to be reimbursed by Victoria University.,Footscray,Metropolitan,FOOTSCRAY,1495000000,Health and human services,6/01/2019
2023-24,Existing,Building a better hospital for Melbourne's inner west,1998605000,Department of Health,,Sep-25,2019-20,qtr 1 2025-26,1002178000,9/30/2025 12:00:00 AM,30-Sep,25,This project is a PPP where the upfront capital investment has resulted in additional scope and whole-of-life benefits whilst remaining within the project’s affordability benchmark. The TEI reflects the inclusion of the Victoria University project components which are to be reimbursed by Victoria University.,This project is a PPP where the upfront capital investment has resulted in additional scope and whole-of-life benefits whilst remaining within the project’s affordability benchmark. The TEI reflects the inclusion of the Victoria University project components which are to be reimbursed by Victoria University.,Footscray,Metropolitan,FOOTSCRAY,996427000,Health and human services,6/01/2019
2023-24,Existing,Building a bigger and better Latrobe Regional Hospital,223500000,Department of Health,,Jun-24,2021-22,qtr 4 2023-24,137061400,6/30/2024 12:00:00 AM,30-Jun,24,The TEI has increased by $6.500 million due to this initiative being combined with the 'Mental health and alcohol and other drugs emergency department hubs in regional Victoria (Traralgon)' initiative funded in the 2022-23 Budget.,The TEI has increased by $6.500 million due to this initiative being combined with the 'Mental health and alcohol and other drugs emergency department hubs in regional Victoria (Traralgon)' initiative funded in the 2022-23 Budget.,Traralgon,Regional,MORWELL,86438600,Health and human services,6/01/2021
2019-20,New,Building a world class Geelong Performing Arts Centre,128000000,Other public non-financial corporations,,Jun-23,2019-20,qtr 4 2022‑23,0,6/30/2023 12:00:00 AM,30-Jun,23,,The estimated completion date has been revised to quarter 1 2023-24 to reflect the planned public opening date of the Geelong Performing Arts Centre.,Geelong,Regional,GEELONG,128000000,"Culture, sport and community",6/01/2019
2023-24,Existing,Building a world class Geelong Performing Arts Centre,140000000,Other PNFC,,Sep-23,2019-20,qtr 1 2023-24,140000000,9/30/2023 12:00:00 AM,30-Sep,23,The estimated completion date has been revised to quarter 1 2023-24 to reflect the planned public opening date of the Geelong Performing Arts Centre.,The estimated completion date has been revised to quarter 1 2023-24 to reflect the planned public opening date of the Geelong Performing Arts Centre.,Geelong,Regional,GEELONG,0,"Culture, sport and community",6/01/2019
2023-24,Existing,Building a world class hospital for Frankston families,1118084000,Department of Health,,Mar-26,2021-22,qtr 3 2025-26,248941000,3/31/2026 12:00:00 AM,31-Mar,26,"This project is a PPP where the upfront capital investment has resulted in additional scope and whole-of-life benefits whilst remaining within the project’s affordability benchmark. The estimated completion date reflects the completion of main works by the end of 2025, with the remaining refurbishment and other works completed by 2027-28.","This project is a PPP where the upfront capital investment has resulted in additional scope and whole-of-life benefits whilst remaining within the project’s affordability benchmark. The estimated completion date reflects the completion of main works by the end of 2025, with the remaining refurbishment and other works completed by 2027-28.",Frankston,Metropolitan,FRANKSTON,869143000,Health and human services,6/01/2021
2023-24,Existing,Building a world class hospital in Maryborough,115000000,Department of Health,,Dec-24,2021-22,qtr 2 2024-25,10810000,12/31/2024 12:00:00 AM,31-Dec,24,The TEI has increased by $15.000 million due to market conditions.,The TEI has increased by $15.000 million due to market conditions.,Maryborough,Regional,RIPON,104190000,Health and human services,6/01/2021
2016-17,Existing,Casey Hospital Expansion,106300000,Department of Health and Human Services,6/30/2020,Jun-20,2015-16,qtr 4 2019‑20,400000,6/30/2020 12:00:00 AM,30-Jun,20,,Expenditure excludes financing costs. The project's cashflow has been revised in line with a revised project schedule.,Berwick,Metropolitan,BERWICK,105900000,Health and human services,6/01/2015
2019-20,Existing,Casey Hospital Expansion,139780000,Department of Health and Human Services,,Jun-20,2015-16,qtr 4 2019‑20,120277000,6/30/2020 12:00:00 AM,30-Jun,20,The project's cashflow has been revised in line with a revised project schedule.,Expenditure excludes financing costs. The project's cashflow has been revised in line with a revised project schedule.,Berwick,Metropolitan,BERWICK,19503000,Health and human services,6/01/2015
2023-24,Existing,Caulfield rationalisation works,236682594,Victorian Rail Track,,Jun-26,2021-22,qtr 4 2025-26,130673570,6/30/2026 12:00:00 AM,30-Jun,26,"The TEI has decreased by $3.393 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.","The TEI has decreased by $3.393 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.",metropolitan various,Metropolitan,CAUFIELD,106009024,Transport,6/01/2021
2016-17,Existing,Caulfield to Dandenong conventional signalling and power infrastructure upgrade,360000000,Victorian Rail Track (VicTrack),,Jun-19,2015-16,qtr 4 2018‑19,45000000,6/30/2019 12:00:00 AM,30-Jun,19,,,Metropolitan,Metropolitan,CAUFIELD,315000000,Transport,6/01/2015
2016-17,Existing,Chandler Highway upgrade,110000000,"Department of Economic Development, Jobs, Transport and Resources",12/31/2019,Dec-18,2015-16,qtr 2 2018‑19,4020000,12/31/2018 12:00:00 AM,31-Dec,18,,TEI has increased by $25.400 million due to unexpected asbestos contaminated materials.,"Alphington, Kew",Metropolitan,KEW,105980000,Transport,6/01/2015
2019-20,Existing,Chandler Highway upgrade,100015000,Department of Transport,,Sep-19,2015-16,qtr 1 2019‑20,91801000,9/30/2019 12:00:00 AM,30-Sep,19,The estimated completion date has been revised to quarter 1 2019‑20 due to unexpected asbestos.,TEI has increased by $25.400 million due to unexpected asbestos contaminated materials.,"Alphington, Kew",Metropolitan,KEW,8214000,Transport,6/01/2015
2023-24,Existing,City Loop fire and safety (upgrade stage 2) and intruder alarm,464619735,Victorian Rail Track,,Dec-23,2016-17,qtr 2 2023-24,324047877,12/31/2023 12:00:00 AM,31-Dec,23,"The TEI has decreased by $4.322 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.","The TEI has decreased by $4.322 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.",Melbourne,Metropolitan,MELBOURNE,140571858,Transport,6/01/2016
2016-17,New,City Loop fire and safety (upgrade stage 2) and intruder alarm,132863000,Victorian Rail Track (VicTrack),,Jun-20,2016-17,qtr 4 2019‑20,0,6/30/2020 12:00:00 AM,30-Jun,20,,"The TEI has decreased by $4.322 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.",Melbourne,Metropolitan,MELBOURNE,132863000,Transport,6/01/2016
2019-20,Existing,City Loop fire and safety (upgrade stage 2) and intruder alarm,151743000,Victorian Rail Track (VicTrack),,,2016-17,tbc,41176000,,,,"The main delivery contractor has been put into administration, and work is progressing to assess the impact to cost and schedule.","The TEI has decreased by $4.322 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.",Melbourne,Metropolitan,MELBOURNE,110567000,Transport,6/01/2016
2016-17,Existing,CityLink - Tulla widening project - CityLink Tunnel to Melbourne Airport,496924000,"Department of Economic Development, Jobs, Transport and Resources",12/31/2018,Dec-17,2015-16,qtr 2 2017‑18,73605000,12/31/2017 12:00:00 AM,31-Dec,17,TEI includes $200.000 million of Commonwealth funding and covers the total funding of the state delivered components of the project.,TEI for project has changed as a result of corporate cost adjustment. TEI includes $200.000 million Commonwealth funding.,Metropolitan,Metropolitan,MELBOURNE,423319000,Transport,6/01/2015
2019-20,New,Cranbourne Line Duplication,750000000,Victorian Rail Track (VicTrack),2/01/2022,Jun-20,2019-20,qtr 4 2019‑20,0,6/30/2020 12:00:00 AM,30-Jun,20,,The TEI has decreased by $83.300 million due to savings made in project delivery. The project completion date has been brought forward due to the project being completed ahead of schedule.,Metropolitan,Metropolitan,NARRE WARREN SOUTH,750000000,Transport,6/01/2019
2023-24,Existing,Dandenong Corridor Readiness Works,275715000,Victorian Rail Track,,Dec-25,2021-22,qtr 2 2025-26,191004299,12/31/2025 12:00:00 AM,31-Dec,25,"The TEI has decreased by $0.785 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.","The TEI has decreased by $0.785 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.",metropolitan various,Metropolitan,DANDENONG,84710701,Transport,6/01/2021
2016-17,New,Drysdale bypass,102560000,"Department of Economic Development, Jobs, Transport and Resources",6/30/2020,Jun-20,2016-17,qtr 4 2019‑20,0,6/30/2020 12:00:00 AM,30-Jun,20,Balance of election commitment was delivered in the 2015‑16 Budget.,,Drysdale,Regional,BELLARINE,102560000,Transport,6/01/2016
2019-20,Existing,Drysdale bypass,117377000,Department of Transport,,Jun-20,2016-17,qtr 4 2019‑20,66563000,6/30/2020 12:00:00 AM,30-Jun,20,,,Drysdale,Regional,BELLARINE,50814000,Transport,6/01/2016
2023-24,Existing,Emergency Departments Expansion Program - Casey Hospital and Werribee Mercy Hospital,236400000,Department of Health,,Jun-27,2022-23,qtr 4 2026-27,2000000,6/30/2027 12:00:00 AM,30-Jun,27,,,Werribee,Metropolitan,WERRIBEE,234400000,Health and human services,6/01/2022
2016-17,Existing,Flinders Street Station Redevelopment,100000000,Victorian Rail Track (VicTrack),7/01/2020,Jun-19,2015-16,qtr 4 2018‑19,12400000,6/30/2019 12:00:00 AM,30-Jun,19,,,Melbourne,Metropolitan,MELBOURNE,87600000,Transport,6/01/2015
2019-20,Existing,Flinders Street Station Redevelopment,100000000,Victorian Rail Track (VicTrack),,Sep-19,2015-16,qtr 1 2019‑20,98753000,9/30/2019 12:00:00 AM,30-Sep,19,The estimated completion date has been revised to quarter 1 2019‑20 to implement signage and pathing improvements.,,Melbourne,Metropolitan,MELBOURNE,1247000,Transport,6/01/2015
2023-24,Existing,Forensic Mental Health Expansion Project Stage 1 and 2 (Fairfield),462457000,Department of Health,,Jun-25,2023-24,qtr 4 2024-25,70575500,6/30/2025 12:00:00 AM,30-Jun,25,The project name has changed from 'Expanding and improving bed-based forensic mental health services: Thomas Embling Hospital (Fairfield)' when it was published in the 2022-23 Budget. The TEI has increased by $123.897 million due to combining this initiative with the 'Redevelopment of Thomas Embling Hospital - Stage 2 (Fairfield)' initiative funded in the 2022-23 Budget.,The project name has changed from 'Expanding and improving bed-based forensic mental health services: Thomas Embling Hospital (Fairfield)' when it was published in the 2022-23 Budget. The TEI has increased by $123.897 million due to combining this initiative with the 'Redevelopment of Thomas Embling Hospital - Stage 2 (Fairfield)' initiative funded in the 2022-23 Budget.,Fairfield,Metropolitan,NORTHCOTE,391881500,Health and human services,6/01/2023
2019-20,Existing,Frankston Line stabling,236683000,Victorian Rail Track (VicTrack),,Mar-20,2017-18,qtr 3 2019‑20,109994000,3/31/2020 12:00:00 AM,31-Mar,20,"TEI excludes $0.002 million due to certain expenditure being recognised as operating instead of capital, in line with accounting standards.",The TEI has increased by $17.300 million due to increased land acquisition and land contamination rectification costs.,Kananook,Regional,FRANKSTON,126689000,Transport,6/01/2017
2019-20,Existing,Geelong City Deal,312316000,"Department of Jobs, Precincts and Regions",,Jun-23,2018-19,qtr 4 2021‑23,4600000,6/30/2023 12:00:00 AM,30-Jun,23,This is the Victorian and Commonwealth Government's share of the Geelong City Deal. Delays in expenditure partially due to negotiations with Commonwealth.,"There has been a net decrease in TEI of $7.250 million, resulting from a $17.100 million reduction in TEI due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards, and a $9.850 million increase in TEI due to additional funding to meet forecast capital costs to deliver the Geelong Convention and Exhibition Centre. The TEI includes $156.000 million of Commonwealth Government funding.",Geelong,Regional,GEELONG,307716000,"Culture, sport and community",6/01/2018
2023-24,Existing,Geelong City Deal,406801000,"Department of Jobs, Skills, Industry and Regions",,Jun-26,2018-19,qtr 4 2025-26,90050000,6/30/2026 12:00:00 AM,30-Jun,26,"There has been a net decrease in TEI of $7.250 million, resulting from a $17.100 million reduction in TEI due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards, and a $9.850 million increase in TEI due to additional funding to meet forecast capital costs to deliver the Geelong Convention and Exhibition Centre. The TEI includes $156.000 million of Commonwealth Government funding.","There has been a net decrease in TEI of $7.250 million, resulting from a $17.100 million reduction in TEI due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards, and a $9.850 million increase in TEI due to additional funding to meet forecast capital costs to deliver the Geelong Convention and Exhibition Centre. The TEI includes $156.000 million of Commonwealth Government funding.",Geelong,Regional,GEELONG,316751000,"Culture, sport and community",6/01/2018
2016-17,Existing,Geelong Hospital - major upgrade,118170000,Department of Health and Human Services,,Sep-18,2015-16,qtr 1 2018‑19,97019000,9/30/2018 12:00:00 AM,30-Sep,18,The project completion date has been revised to reflect the additional separate scope funded in 2014‑15.,The project's cashflow has been revised in line with a revised project schedule.,Geelong,Regional,GEELONG,21151000,Health and human services,6/01/2015
2019-20,New,Geelong Line Upgrade - Waurn Ponds Duplication (stage 1),110000000,Victorian Rail Track (VicTrack),,Dec-22,2019-20,qtr 2 2022‑23,4491000,12/31/2022 12:00:00 AM,31-Dec,22,TEI includes $99.000 million of Commonwealth funding.,TEI includes $99.000 million of Commonwealth funding.,Regional,Regional,SOUTH BARWON,105509000,Transport,6/01/2019
2023-24,Existing,Goulburn Valley Health redevelopment - planning and development,229349000,Department of Health,,Dec-23,2016-17,qtr 2 2023-24,224743600,12/31/2023 12:00:00 AM,31-Dec,23,The estimated completion date has been revised to quarter 2 2023-24 in line with a revised project schedule.,The estimated completion date has been revised to quarter 2 2023-24 in line with a revised project schedule.,Shepparton,Regional,SHEPPARTON,4605400,Health and human services,6/01/2016
2016-17,New,Goulburn Valley Health redevelopment - planning and development,168525000,Department of Health and Human Services,,Jun-21,2016-17,qtr 4 2020‑21,0,6/30/2021 12:00:00 AM,30-Jun,21,"Additional funding of $1.000 million was provided in 2015‑16 for planning and development, bringing the Government's contribution to $169.525 million.",The estimated completion date has been revised to quarter 2 2023-24 in line with a revised project schedule.,Shepparton,Regional,SHEPPARTON,168525000,Health and human services,6/01/2016
2019-20,Existing,Goulburn Valley Health redevelopment - planning and development,171234000,Department of Health and Human Services,,Jun-21,2016-17,qtr 4 2020‑21,63349000,6/30/2021 12:00:00 AM,30-Jun,21,The project's cashflow has been revised in line with a revised project schedule.,The estimated completion date has been revised to quarter 2 2023-24 in line with a revised project schedule.,Shepparton,Regional,SHEPPARTON,107885000,Health and human services,6/01/2016
2023-24,Existing,Great Ocean Road renewal,255000000,Department of Transport and Planning,,Jun-25,2021-22,qtr 4 2024-25,107769990,6/30/2025 12:00:00 AM,30-Jun,25,,,Barwon South West,Regional,POLWARTH,147230010,Transport,6/01/2021
2019-20,New,Hall Road Upgrade,169000000,Department of Transport,,,2019-20,tbc,0,,,,,The TEI includes $141.252 million of Commonwealth Government funding. This project may be subject to the Commonwealth Infrastructure Investment Program Review.,Skye,Metropolitan,CARRUM,169000000,Transport,6/01/2019
2019-20,New,Hurstbridge Line Upgrade Stage 2,530000000,Victorian Rail Track (VicTrack),,,2019-20,tbc,0,,,,The completion date is subject to the completion of planning for the project.,"The TEI has decreased by $4.631 million due to budgeted amounts being recognised as operating instead of capital expenditure, in line with accounting standards.",Metropolitan,Metropolitan,EILDON,530000000,Transport,6/01/2019
2016-17,New,Hurstbridge rail line upgrade,135905000,Victorian Rail Track (VicTrack),,Jun-19,2016-17,qtr 4 2018‑19,1000000,6/30/2019 12:00:00 AM,30-Jun,19,,,Regional,Regional,EILDON,134905000,Transport,6/01/2016
2016-17,Existing,Joan Kirner Women's and Children's Hospital,200000000,Department of Health and Human Services,4/01/2019,Jun-20,2015-16,qtr 4 2019‑20,4765000,6/30/2020 12:00:00 AM,30-Jun,20,,,St Albans,Metropolitan,ST ALBANS,195235000,Health and human services,6/01/2015
2019-20,Existing,Joan Kirner Women's and Children's Hospital,200000000,Department of Health and Human Services,,Jun-20,2015-16,qtr 4 2019‑20,184897000,6/30/2020 12:00:00 AM,30-Jun,20,The project's cashflow has been revised in line with a revised project schedule. Construction of the hospital is now complete and is scheduled to open in May 2019.,,St Albans,Metropolitan,ST ALBANS,15103000,Health and human services,6/01/2015
2023-24,New,Kananook Train Maintenance Facility Stage 2,365500000,Victorian Rail Track,,Jun-26,2023-24,qtr 4 2025-26,27212000,6/30/2026 12:00:00 AM,30-Jun,26,The TEI includes funding of $12.555 million announced in the 2022 Victorian Economic and Fiscal Update.,The TEI includes funding of $12.555 million announced in the 2022 Victorian Economic and Fiscal Update.,metropolitan,Metropolitan,FRANKSTON,338288000,Transport,6/01/2023
2023-24,Existing,Kardinia Park Stadium Stage 5 redevelopment,141923000,Other PNFC,,Mar-24,2021-22,qtr 3 2023-24,141923000,3/31/2024 12:00:00 AM,31-Mar,24,"The project's location has changed from ‘statewide’ to ‘Geelong’ to better reflect the project’s service area. The TEI has increased by $0.685 million due to budgeted amounts being reclassified as capital instead of operating expenditure, in line with accounting standards. The project's cashflow reflects the project's funding agreement with the Kardinia Park Stadium Trust to ensure sufficient cashflow to manage the project to the estimated completion date. The estimated completion date has been revised to quarter 3 2023-24 to reflect delays caused by construction industry supply chain issues.","The project's location has changed from ‘statewide’ to ‘Geelong’ to better reflect the project’s service area. The TEI has increased by $0.685 million due to budgeted amounts being reclassified as capital instead of operating expenditure, in line with accounting standards. The project's cashflow reflects the project's funding agreement with the Kardinia Park Stadium Trust to ensure sufficient cashflow to manage the project to the estimated completion date. The estimated completion date has been revised to quarter 3 2023-24 to reflect delays caused by construction industry supply chain issues.",Geelong,Regional,GEELONG,0,"Culture, sport and community",6/01/2021
2016-17,New,M80 Ring Road upgrade Sunshine Avenue to Calder Freeway,300000000,"Department of Economic Development, Jobs, Transport and Resources",4/31/2022,Dec-18,2016-17,qtr 2 2018‑19,3015000,12/31/2018 12:00:00 AM,31-Dec,18,TEI includes $150 million of Commonwealth funding.,TEI includes $150.000 million of Commonwealth funding.,Sunshine North,Metropolitan,ST ALBANS,296985000,Transport,6/01/2016
2019-20,New,Melbourne Arts Precinct transformation (planning and design),101500000,"Department of Jobs, Precincts and Regions",,Jun-21,2019-20,qtr 4 2020‑21,26738000,6/30/2021 12:00:00 AM,30-Jun,21,This project incorporates the Reimagining Arts Centre Melbourne project and the National Gallery of Victoria Contemporary initiative.  This project also incorporates the previously published Arts Centre Melbourne critical works project.,"This initiative relates to project planning and design activities for the precinct, including the Reimagining Arts Centre Melbourne project and the National Gallery of Victoria Contemporary initiative. TEI has reduced by $0.077 million due to minor project savings realised in 2018‑19. 2020‑21 funding will be provided to Development Victoria for delivery of this project. The estimated completion date has been revised due to the impact of COVID‑19.",Melbourne,Metropolitan,MELBOURNE,74762000,"Culture, sport and community",6/01/2019
2023-24,Existing,Melbourne Arts Precinct transformation Phase One,1574389000,Other PNFC,,Dec-28,2021-22,qtr 2 2028-29,79472000,12/31/2028 12:00:00 AM,31-Dec,28,"The TEI has increased by $2.614 million due to budgeted amounts being reclassified as capital instead of operating expenditure, in line with accounting standards. The estimated completion date was previously ’tbc’ and has now been disclosed following further project development.","The TEI has increased by $2.614 million due to budgeted amounts being reclassified as capital instead of operating expenditure, in line with accounting standards. The estimated completion date was previously ’tbc’ and has now been disclosed following further project development.",Melbourne,Metropolitan,MELBOURNE,1494917000,"Culture, sport and community",6/01/2021
2016-17,Existing,Melbourne Park Redevelopment - stage 2,338151000,Other public non-financial corporations,9/01/2019,Dec-19,2015-16,qtr 2 2019‑20,87000000,12/31/2019 12:00:00 AM,31-Dec,19,,The project completion date has been revised due to project completed ahead of schedule.,Melbourne,Metropolitan,MELBOURNE,251151000,"Culture, sport and community",6/01/2015
2019-20,Existing,Melbourne Park Redevelopment - stage 2,338121000,Other public non-financial corporations,,Dec-20,2015-16,qtr 2 2020‑21,326551000,12/31/2020 12:00:00 AM,31-Dec,20,TEI includes funding of $40 million from the Melbourne and Olympic Parks Trust.,The project completion date has been revised due to project completed ahead of schedule.,Melbourne,Metropolitan,MELBOURNE,11570000,"Culture, sport and community",6/01/2015
2019-20,Existing,Melbourne Park Redevelopment - Stage 3,271555000,Other public non-financial corporations,8/01/2021,Jun-22,2017-18,qtr 4 2021‑22,80786000,6/30/2022 12:00:00 AM,30-Jun,22,The TEI includes funding of $40 million from the Melbourne and Olympic Parks Trust.  The estimated completion date has been revised.,"The TEI includes $20.500 million from Melbourne Olympic Parks Trust and $3.972 million from Tennis Australia. The project is expected to reach practical completion in quarter 4 2021-22, with financial completion expected to be quarter 1 2022-23.",Melbourne,Metropolitan,MELBOURNE,190769000,"Culture, sport and community",6/01/2017
2023-24,New,Melton Line Upgrade,641000000,Victorian Rail Track,,Jun-29,2023-24,qtr 4 2028-29,0,6/30/2029 12:00:00 AM,30-Jun,29,"The TEI excludes $9.000 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards. This initiative is part of Labor’s Financial Statement 2022.","The TEI excludes $9.000 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards. This initiative is part of Labor’s Financial Statement 2022.",statewide,Statewide,MELTON,641000000,Transport,6/01/2023
2016-17,New,Mernda rail extension project,587714000,Victorian Rail Track (VicTrack),8/01/2018,Dec-18,2016-17,qtr 2 2018‑19,12466000,12/31/2018 12:00:00 AM,31-Dec,18,$9.000 million in development funding was provided in the 2015‑16 Budget.,"TEI has been reduced by $0.024 million due to savings and $1.063 million due to certain expenditure being recognised as operating instead of capital, in line with accounting standards.",Mernda,Metropolitan,YAN YEAN,575248000,Transport,6/01/2016
2023-24,Existing,Metro Tunnel,12642471070,Victorian Rail Track,,Dec-25,2015-16,qtr 2 2025-26,10537451000,12/31/2025 12:00:00 AM,31-Dec,25,The TEI has increased by $281.089 million due to COVID-19 related payments. The TEI excludes financing costs.,The TEI has increased by $281.089 million due to COVID-19 related payments. The TEI excludes financing costs.,metropolitan various,Metropolitan,MELBOURNE,2105020070,Transport,6/01/2015
2019-20,Existing,Metro Tunnel,10883144000,Victorian Rail Track (VicTrack),,Dec-25,2015-16,qtr 2 2025‑26,4460097000,12/31/2025 12:00:00 AM,31-Dec,25,"TEI excludes $109.380 million due to certain expenditure being recognised as operating instead of capital, in line with accounting standards. TEI excludes financing costs.",The TEI has increased by $281.089 million due to COVID-19 related payments. The TEI excludes financing costs.,Metropolitan,Metropolitan,MELBOURNE,6423047000,Transport,6/01/2015
2016-17,Existing,Metro Tunnel,10900000000,Victorian Rail Track (VicTrack),,Jun-26,2015-16,qtr 4 2025‑26,244420000,6/30/2026 12:00:00 AM,30-Jun,26,The TEI includes funding announced as part of the 2015‑16 Budget Information Paper Getting On With It. This amount excludes financing costs.,The TEI has increased by $281.089 million due to COVID-19 related payments. The TEI excludes financing costs.,Metropolitan,Metropolitan,MELBOURNE,10655580000,Transport,6/01/2015
2023-24,New,Metro Tunnel readiness,238079000,Victorian Rail Track,,Dec-25,2023-24,qtr 2 2025-26,33700000,12/31/2025 12:00:00 AM,31-Dec,25,,,metropolitan,Metropolitan,MELBOURNE,204379000,Transport,6/01/2023
2016-17,Existing,Monash Children's Hospital,258175000,Department of Health and Human Services,3/28/2017,Dec-16,2015-16,qtr 2 2016‑17,163563000,12/31/2016 12:00:00 AM,31-Dec,16,"The TEI for this project includes $3.800 million for the MCH Helipad, reported as a separate project in the 2015‑16 budget. The TEI has also increased due to $4.375 million in additional funding provided by Monash University for accommodation space.",,Clayton,Metropolitan,OAKLEIGH,94612000,Health and human services,6/01/2015
