Budget year (group),Project type,Project name,TEI,BP4 Agency,Completion date,Completion date string,Earliest budget year,Est completion date,Est exp to date,Estimated completion date,EstimatedCompletionDM,EstimatedCompletionYear,Fixed notes,Footnotes,Project location,Regional,State Electorate,Remaining exp,Sector,Start date
2019-20,Existing,Drysdale bypass,"117,377,000",Department of Transport,6/30/2020,Jun-20,2016-17,qtr 4 2019‑20,66563000,6/30/2020 12:00:00 AM,30-Jun,20,,,Drysdale,Regional,BELLARINE,50814000,Transport,6/01/2016
2019-20,Existing,Flinders Street Station Redevelopment,"100,000,000",Victorian Rail Track (VicTrack),9/30/2019,Sep-19,2015-16,qtr 1 2019‑20,98753000,9/30/2019 12:00:00 AM,30-Sep,19,The estimated completion date has been revised to quarter 1 2019‑20 to implement signage and pathing improvements.,,Melbourne,Metropolitan,MELBOURNE,1247000,Transport,6/01/2015
2019-20,Existing,Frankston Line stabling,"236,683,000",Victorian Rail Track (VicTrack),3/31/2020,Mar-20,2017-18,qtr 3 2019‑20,109994000,3/31/2020 12:00:00 AM,31-Mar,20,"TEI excludes $0.002 million due to certain expenditure being recognised as operating instead of capital, in line with accounting standards.",The TEI has increased by $17.300 million due to increased land acquisition and land contamination rectification costs.,Kananook,Regional,FRANKSTON,126689000,Transport,6/01/2017
2019-20,Existing,Geelong City Deal,"312,316,000","Department of Jobs, Precincts and Regions",6/30/2023,Jun-23,2018-19,qtr 4 2021‑23,4600000,6/30/2023 12:00:00 AM,30-Jun,23,This is the Victorian and Commonwealth Government's share of the Geelong City Deal. Delays in expenditure partially due to negotiations with Commonwealth.,"There has been a net decrease in TEI of $7.250 million, resulting from a $17.100 million reduction in TEI due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards, and a $9.850 million increase in TEI due to additional funding to meet forecast capital costs to deliver the Geelong Convention and Exhibition Centre. The TEI includes $156.000 million of Commonwealth Government funding.",Geelong,Regional,GEELONG,307716000,"Culture, sport and community",6/01/2018
2019-20,New,Geelong Line Upgrade - Waurn Ponds Duplication (stage 1),"110,000,000",Victorian Rail Track (VicTrack),12/31/2022,Dec-22,2019-20,qtr 2 2022‑23,4491000,12/31/2022 12:00:00 AM,31-Dec,22,TEI includes $99.000 million of Commonwealth funding.,TEI includes $99.000 million of Commonwealth funding.,Regional,Regional,SOUTH BARWON,105509000,Transport,6/01/2019
2019-20,Existing,Goulburn Valley Health redevelopment - planning and development,"171,234,000",Department of Health and Human Services,6/30/2021,Jun-21,2016-17,qtr 4 2020‑21,63349000,6/30/2021 12:00:00 AM,30-Jun,21,The project's cashflow has been revised in line with a revised project schedule.,The estimated completion date has been revised to quarter 2 2023-24 in line with a revised project schedule.,Shepparton,Regional,SHEPPARTON,107885000,Health and human services,6/01/2016
2019-20,New,Hall Road Upgrade,"169,000,000",Department of Transport,6/30/2089,,2019-20,tbc,0,,,,,The TEI includes $141.252 million of Commonwealth Government funding. This project may be subject to the Commonwealth Infrastructure Investment Program Review.,Skye,Metropolitan,CARRUM,169000000,Transport,6/01/2019
2019-20,New,Hurstbridge Line Upgrade Stage 2,"530,000,000",Victorian Rail Track (VicTrack),6/30/2089,,2019-20,tbc,0,,,,The completion date is subject to the completion of planning for the project.,"The TEI has decreased by $4.631 million due to budgeted amounts being recognised as operating instead of capital expenditure, in line with accounting standards.",Metropolitan,Metropolitan,EILDON,530000000,Transport,6/01/2019
2019-20,Existing,Joan Kirner Women's and Children's Hospital,"200,000,000",Department of Health and Human Services,6/30/2020,Jun-20,2015-16,qtr 4 2019‑20,184897000,6/30/2020 12:00:00 AM,30-Jun,20,The project's cashflow has been revised in line with a revised project schedule. Construction of the hospital is now complete and is scheduled to open in May 2019.,,St Albans,Metropolitan,ST ALBANS,15103000,Health and human services,6/01/2015
2019-20,New,Melbourne Arts Precinct transformation (planning and design),"101,500,000","Department of Jobs, Precincts and Regions",6/30/2021,Jun-21,2019-20,qtr 4 2020‑21,26738000,6/30/2021 12:00:00 AM,30-Jun,21,This project incorporates the Reimagining Arts Centre Melbourne project and the National Gallery of Victoria Contemporary initiative.  This project also incorporates the previously published Arts Centre Melbourne critical works project.,"This initiative relates to project planning and design activities for the precinct, including the Reimagining Arts Centre Melbourne project and the National Gallery of Victoria Contemporary initiative. TEI has reduced by $0.077 million due to minor project savings realised in 2018‑19. 2020‑21 funding will be provided to Development Victoria for delivery of this project. The estimated completion date has been revised due to the impact of COVID‑19.",Melbourne,Metropolitan,MELBOURNE,74762000,"Culture, sport and community",6/01/2019
2019-20,Existing,Melbourne Park Redevelopment - stage 2,"338,121,000",Other public non-financial corporations,12/31/2020,Dec-20,2015-16,qtr 2 2020‑21,326551000,12/31/2020 12:00:00 AM,31-Dec,20,TEI includes funding of $40 million from the Melbourne and Olympic Parks Trust.,The project completion date has been revised due to project completed ahead of schedule.,Melbourne,Metropolitan,MELBOURNE,11570000,"Culture, sport and community",6/01/2015
2019-20,Existing,Melbourne Park Redevelopment - Stage 3,"271,555,000",Other public non-financial corporations,6/30/2022,Jun-22,2017-18,qtr 4 2021‑22,80786000,6/30/2022 12:00:00 AM,30-Jun,22,The TEI includes funding of $40 million from the Melbourne and Olympic Parks Trust.  The estimated completion date has been revised.,"The TEI includes $20.500 million from Melbourne Olympic Parks Trust and $3.972 million from Tennis Australia. The project is expected to reach practical completion in quarter 4 2021-22, with financial completion expected to be quarter 1 2022-23.",Melbourne,Metropolitan,MELBOURNE,190769000,"Culture, sport and community",6/01/2017
2019-20,Existing,Metro Tunnel,"10,883,144,000",Victorian Rail Track (VicTrack),12/31/2025,Dec-25,2015-16,qtr 2 2025‑26,4460097000,12/31/2025 12:00:00 AM,31-Dec,25,"TEI excludes $109.380 million due to certain expenditure being recognised as operating instead of capital, in line with accounting standards. TEI excludes financing costs.",The TEI has increased by $281.089 million due to COVID-19 related payments. The TEI excludes financing costs.,Metropolitan,Metropolitan,MELBOURNE,6423047000,Transport,6/01/2015
2019-20,Existing,Monash Freeway upgrade - Stage 2,"684,424,000",Department of Transport,6/30/2023,Jun-23,2018-19,qtr 4 2022‑23,35313000,6/30/2023 12:00:00 AM,30-Jun,23,TEI includes $483.800 million of Commonwealth funding.,The TEI includes $686.216 million of Commonwealth Government funding.,South-East Melbourne,Metropolitan,MULGRAVE,649111000,Transport,6/01/2018
2019-20,Existing,Mordialloc Freeway,"375,000,000",Department of Transport,12/31/2022,Dec-22,2017-18,qtr 2 2022‑23,57651000,12/31/2022 12:00:00 AM,31-Dec,22,,"The TEI has decreased by $2.350 million due to savings, and excludes $1.000 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.",Braeside,Metropolitan,MORDIALLOC,317349000,Transport,6/01/2017
2019-20,Existing,Murray Basin Rail Project,"567,700,000",Victorian Rail Track (VicTrack),6/30/2089,,2015-16,tbc,371873000,,,,"$20.200 million has been reallocated to this project from the Regional Rail Revival - (Murray Basin Rail Project). The TEI includes funding for the ‘Rail Infrastructure Upgrades from Maryborough and Ararat to Ballarat', a $1.000 million contribution from GrainCorp, and  $35.000 million of Commonwealth funding for Ballarat Line Upgrade Stage 2. These projects have been combined for reporting purposes and the estimated completion date is to be confirmed.",The TEI includes $470.400 million of Commonwealth Government funding. This project may be subject to the Commonwealth Infrastructure Investment Program review.,Regional,Regional,MILDURA,195827000,Transport,6/01/2015
2019-20,New,New trains for Sunbury,"2,050,365,000",Victorian Rail Track (VicTrack),12/31/2024,Dec-24,2019-20,qtr 2 2024‑25,0,12/31/2024 12:00:00 AM,31-Dec,24,,"The TEI has decreased by $180.000 million due to cost savings and by $4.200 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.",Metropolitan,Metropolitan,SUNBURY,2050365000,Transport,6/01/2019
2019-20,New,North East Link,"15,640,286,000",Department of Transport,6/30/2027,Jun-27,2019-20,qtr 4 2026‑27,0,6/30/2027 12:00:00 AM,30-Jun,27,TEI includes $143.765 million in funding announced in previous budgets and excludes $150.011 million due to certain expenditure being recognised as expensed State costs (rather than capitalised) in accordance with relevant accounting standards. TEI excludes financing costs. Funding profile is not reported at this time due to commercial sensitivity of the live tender process.,TEI excludes $349.695 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards. TEI excludes financing costs. Funding profile is not reported at this time due to commercial sensitivity of the live tender process.,Metropolitan,Metropolitan,BUNDOORA,15640286000,Transport,6/01/2019
2019-20,Existing,Northern Hospital inpatient expansion - Stage 2,"162,672,000",Department of Health and Human Services,9/30/2021,Sep-21,2017-18,qtr 1 2021‑22,26268000,9/30/2021 12:00:00 AM,30-Sep,21,The project's cashflow has been revised in line with a revised project schedule.,,Epping,Metropolitan,THOMASTOWN,136404000,Health and human services,6/01/2017
2019-20,Existing,O'Herns Road upgrade,"102,803,000",Department of Transport,6/30/2021,Jun-21,2016-17,qtr 4 2020‑21,35391000,6/30/2021 12:00:00 AM,30-Jun,21,TEI has increased by $25.000 million due to market escalation. TEI includes $25.801 million of Commonwealth funding. The estimated completion date has been revised to quarter 4 2020‑21 due to environmental approvals.,"The TEI has increased by $35.499 million due to utility relocation and COVID-19 impacts, and includes $50.000 million of Commonwealth Government funding.",Epping,Metropolitan,THOMASTOWN,67412000,Transport,6/01/2016
2019-20,Existing,Plenty Road upgrade - Stage 2,"143,409,000",Department of Transport,12/31/2020,Dec-20,2016-17,qtr 2 2020‑21,11297000,12/31/2020 12:00:00 AM,31-Dec,20,TEI has increased by $40.000 million due to market escalation. The estimated completion date has been revised to quarter 2 2020‑21 due to procurement requirements.,TEI has increased by $0.779 million due to increased scope funded by a developer contribution.,South Morang,Metropolitan,MILL PARK,132112000,Transport,6/01/2016
2019-20,Existing,Princes Highway duplication project - Winchelsea to Colac,"349,193,000",Department of Transport,12/31/2019,Dec-19,2015-16,qtr 2 2019‑20,281830000,12/31/2019 12:00:00 AM,31-Dec,19,TEI includes $181.735 million of Commonwealth funding. The estimated completion date has been revised to quarter 2 2019‑20 due to design changes and archaeological discoveries.,TEI includes $181.735 million of Commonwealth funding.,Regional,Regional,POLWARTH,67363000,Transport,6/01/2015
2019-20,Existing,Regional Rail Revival - Gippsland Line Upgrade Stage 1,"433,938,000",Victorian Rail Track (VicTrack),12/31/2022,Dec-22,2017-18,qtr 2 2022‑23,31335000,12/31/2022 12:00:00 AM,31-Dec,22,"TEI includes $418.000 million of Commonwealth funding, and excludes $1.062 million due to certain expenditure being recognised as operating instead of capital in line with accounting standards. The estimated completion date has been revised due to packaging of the Gippsland‑Shepparton‑Bendigo alliance.",The TEI includes $449.400 million of Commonwealth Government funding. This project may be subject to the Commonwealth Infrastructure Investment Program review.,Regional,Regional,GIPPSLAND EAST,402603000,Transport,6/01/2017
2019-20,Existing,Regional Rail Revival - Shepparton Corridor Upgrade - Stage 2,"312,487,000",Victorian Rail Track (VicTrack),12/31/2022,Dec-22,2018-19,qtr 2 2022‑23,10384000,12/31/2022 12:00:00 AM,31-Dec,22,"TEI excludes $0.422 million due to certain expenditure being recognised as operating instead of capital, in line with accounting standards. Project name changed from 'Shepparton Line Upgrade - Stage 2' published in 2018-19 Budget. The estimated completion date has been revised due to the packaging of the Gippsland‑Shepparton‑Bendigo alliance.","The TEI has decreased by $1.052 million due to budgeted amounts being recognised as operating instead of capital expenditure, in line with accounting standards. VLocity trains were delivered in quarter 2 2022-23, with final commissioning to introduce the remaining Stage 2 infrastructure into service in quarter 4 2022-23.",Shepparton,Regional,SHEPPARTON,302103000,Transport,6/01/2018
2019-20,Existing,Regional Rail Revival - Warrnambool Line Upgrade - Stage 2,"114,000,000",Victorian Rail Track (VicTrack),6/30/2022,Jun-22,2019-20,qtr 4 2021‑22,15636000,6/30/2022 12:00:00 AM,30-Jun,22,TEI includes $104.000 million of Commonwealth funding.,The TEI includes $208.000 million of Commonwealth Government funding. This project may be subject to the Commonwealth Infrastructure Investment Program review.,Regional,Regional,SOUTH-WEST COAST,98364000,Transport,6/01/2019
2019-20,Existing,Royal Victorian Eye and Ear Hospital redevelopment,"274,557,000",Department of Health and Human Services,12/31/2021,Dec-21,2015-16,qtr 2 2021‑22,199588000,12/31/2021 12:00:00 AM,31-Dec,21,The project's TEI has increased to reflect the additional joint funding between the department and the Royal Victorian Eye and Ear Hospital. The cashflow has been revised in line with a revised project schedule.,,Melbourne,Metropolitan,MELBOURNE,74969000,Health and human services,6/01/2015
2019-20,Existing,Rural and Regional Roads Package - Echuca‑Moama bridge,"134,903,000",Department of Transport,6/30/2022,Jun-22,2017-18,qtr 4 2021‑22,33414000,6/30/2022 12:00:00 AM,30-Jun,22,TEI includes $46.000 million of Commonwealth funding and excludes contribution from New South Wales.,The TEI includes $76.376 million of Commonwealth Government funding for the Victorian portion. The TEI excludes funding contributions from the New South Wales Government and the Commonwealth Government portion for New South Wales. The TEI has decreased by $7.787 million due to certain expenditure being reclassified as operating instead of capital in line with accounting standards.,Echuca,Regional,MURRAY PLAINS,101489000,Transport,6/01/2017
2019-20,Existing,Safe Digital Clinical Systems - Parkville Precinct EMR,"123,800,000",Department of Health and Human Services,6/30/2021,Jun-21,2018-19,qtr 4 2020-21,12222000,6/30/2021 12:00:00 AM,30-Jun,21,Project name changed from Electronic medical records in Parkville (Parkville) published in the 2018-19 budget papers,Project name changed from Electronic medical records in Parkville (Parkville) published in the 2018-19 budget papers,Parkville,Metropolitan,MELBOURNE,111578000,Health and human services,6/01/2018
2019-20,New,Suburban Rail Loop,"250,000,000",Victorian Rail Track (VicTrack),6/30/2089,,2019-20,tbc,0,,,,Funding is for detailed planning and development activities.,Funding is for detailed planning and development activities.,Metropolitan,Metropolitan,BOX HILL,250000000,Transport,6/01/2019
2019-20,New,Suburban Rail Loop - Airport,"680,680,000",Victorian Rail Track (VicTrack),6/30/2089,,2019-20,tbc,10000000,,,,This funding represents the Commonwealth contribution to the project. The Government has made a substantial provision in the Victorian Transport Fund for this project. The project is in its planning phase.,The State and Commonwealth governments have committed $5.000 billion each to the project. This project may be subject to the Commonwealth Infrastructure Investment Program review.,Metropolitan,Metropolitan,SUNBURY,670680000,Transport,6/01/2019
2019-20,Existing,Victorian Heart Hospital,"564,000,000",Department of Health and Human Services,12/31/2022,Dec-22,2016-17,qtr 2 2022‑23,71773000,12/31/2022 12:00:00 AM,31-Dec,22,The project's TEI has increased by $21.000 million to reflect change design requirements by Monash University. The cashflow has been revised in line with a new project schedule.,,Clayton,Metropolitan,OAKLEIGH,492227000,Health and human services,6/01/2016
2019-20,Existing,West Gate Tunnel,"6,301,924,000",Department of Transport,12/31/2022,Dec-22,2016-17,qtr 2 2022‑23,2529738000,12/31/2022 12:00:00 AM,31-Dec,22,TEI excludes $42.508 million due to certain expenditure being recognised as operating instead of capital in line with accounting standards.,"The TEI has decreased by $58.212 million due to budgeted amounts being reclassified as operating instead of capital expenditure, in line with accounting standards.",Metropolitan,Metropolitan,WILLIAMSTOWN,3772186000,Transport,6/01/2016
2019-20,Existing,Western Highway duplication - Ballarat to Stawell,"656,357,000",Department of Transport,12/31/2021,Dec-21,2015-16,qtr 2 2021‑22,512068000,12/31/2021 12:00:00 AM,31-Dec,21,TEI includes $499.380 million of Commonwealth funding. The estimated completion date has been revised to quarter 2 2021‑22 due to a change in scope.,The TEI includes $499.380 million of Commonwealth Government funding. This project may be subject to the Commonwealth Infrastructure Investment Program review.,Regional,Regional,RIPON,144289000,Transport,6/01/2015
2019-20,New,Western Plains Correctional Centre,"689,450,000",Department of Justice and Community Safety,6/30/2022,Jun-22,2018-19,qtr 4 2021‑22,36199000,6/30/2022 12:00:00 AM,30-Jun,22,Previously known as Lara Prison precinct expansion published in 2018‑19 budget papers. Cash flow has been revised in line with a revised project schedule.,The TEI has decreased by $49.402 million.,Chisholm Road,Regional,LARA,653251000,Justice and emergency services,6/01/2018
2019-20,Existing,Wonthaggi Hospital emergency department expansion,"115,000,000",Department of Health and Human Services,6/30/2023,Jun-23,2018-19,qtr 4 2022‑23,2000000,6/30/2023 12:00:00 AM,30-Jun,23,,,Wonthaggi,Regional,BASS ,113000000,Health and human services,6/01/2018
2019-20,Existing,Wyndham Vale Stabling Yard,"172,900,000",Victorian Rail Track (VicTrack),3/31/2020,Mar-20,2018-19,qtr 3 2019‑20,82936000,3/31/2020 12:00:00 AM,31-Mar,20,Project name changed from 'Regional rail infrastructure and new regional trains' published in 2018-19 Budget.,TEI has decreased by $8.643 million due to project savings.,Regional,Regional,WERRIBEE,89964000,Transport,6/01/2018
2019-20,Existing,Yan Yean Road duplication - Stage 1,"125,958,000",Department of Transport,6/30/2020,Jun-20,2016-17,qtr 4 2019‑20,117737000,6/30/2020 12:00:00 AM,30-Jun,20,,,Plenty,Metropolitan,YAN YEAN,8221000,Transport,6/01/2016
